codeindyr;code;countryname;year;indicator;estimate;stddev;nsource;pctrank;pctranklower;pctrankupper
HUNpv2023;HUN;Hungary;2023;pv;0,73;0,22;8;72,0;55,9;90,0
ISLpv2023;ISL;Iceland;2023;pv;1,21;0,23;6;95,3;76,3;98,6
INDpv2023;IND;India;2023;pv;-0,64;0,21;9;21,3;13,7;35,5
IDNpv2023;IDN;Indonesia;2023;pv;-0,40;0,22;8;28,9;17,5;44,1
IRNpv2023;IRN;Iran;2023;pv;-1,69;0,23;6;8,1;4,7;11,4
IRQpv2023;IRQ;Iraq;2023;pv;-2,41;0,23;6;2,4;0,0;5,7
IRLpv2023;IRL;Ireland;2023;pv;0,90;0,22;7;78,7;63,0;95,3
ISRpv2023;ISR;Israel;2023;pv;-1,46;0,23;6;10,0;7,1;13,3
ITApv2023;ITA;Italy;2023;pv;0,58;0,22;7;64,9;52,6;81,0
JAMpv2023;JAM;Jamaica;2023;pv;0,38;0,23;6;57,3;46,4;73,0
JPNpv2023;JPN;Japan;2023;pv;0,95;0,22;7;81,5;65,4;95,7
JEYpv2023;JEY;Jersey;2023;pv;1,74;0,45;1;100,0;84,4;100,0
JORpv2023;JOR;Jordan;2023;pv;-0,20;0,21;8;40,3;23,7;50,2
KAZpv2023;KAZ;Kazakhstan;2023;pv;-0,27;0,21;8;36,5;22,7;48,3
KENpv2023;KEN;Kenya;2023;pv;-0,94;0,23;6;14,7;11,4;23,7
KIRpv2023;KIR;Kiribati;2023;pv;1,10;0,25;4;91,0;70,1;98,1
PRKpv2023;PRK;Korea;2023;pv;-0,37;0,24;5;30,3;17,5;46,9
KORpv2023;KOR;Korea;2023;pv;0,61;0,21;8;68,2;54,5;81,0
KSVpv2023;KSV;Kosovo;2023;pv;-0,32;0,23;5;34,6;19,0;48,3
KWTpv2023;KWT;Kuwait;2023;pv;0,41;0,22;7;58,8;47,4;74,4
KGZpv2023;KGZ;Kyrgyz Republic;2023;pv;-0,48;0,21;7;26,5;16,6;41,2
LAOpv2023;LAO;Lao PDR;2023;pv;0,81;0,24;4;75,4;59,7;94,8
LVApv2023;LVA;Latvia;2023;pv;0,59;0,22;7;66,8;52,6;81,5
LBNpv2023;LBN;Lebanon;2023;pv;-1,52;0,23;6;9,5;6,6;12,8
LSOpv2023;LSO;Lesotho;2023;pv;-0,31;0,24;5;35,5;19,0;49,3
LBRpv2023;LBR;Liberia;2023;pv;-0,12;0,21;7;42,7;27,5;53,1
LBYpv2023;LBY;Libya;2023;pv;-2,17;0,24;5;4,3;0,9;7,1
LIEpv2023;LIE;Liechtenstein;2023;pv;1,61;0,24;4;99,1;94,8;100,0
LTUpv2023;LTU;Lithuania;2023;pv;0,74;0,22;7;72,5;56,4;91,0
LUXpv2023;LUX;Luxembourg;2023;pv;1,05;0,22;7;87,7;70,1;96,7
MACpv2023;MAC;Macao;2023;pv;1,07;0,31;2;88,2;64,0;98,1
MDGpv2023;MDG;Madagascar;2023;pv;-0,69;0,22;7;19,9;13,3;34,1
MWIpv2023;MWI;Malawi;2023;pv;-0,24;0,23;6;37,9;22,7;50,2
MYSpv2023;MYS;Malaysia;2023;pv;0,17;0,21;8;50,7;40,3;60,7
MDVpv2023;MDV;Maldives;2023;pv;0,53;0,25;4;62,6;49,8;81,0
MLIpv2023;MLI;Mali;2023;pv;-2,73;0,23;6;0,5;0,0;2,8
MLTpv2023;MLT;Malta;2023;pv;0,86;0,23;6;77,3;60,7;95,3
MHLpv2023;MHL;Marshall Islands;2023;pv;1,18;0,28;3;93,4;71,6;99,5
MTQpv2023;MTQ;Martinique;2023;pv;0,51;0,31;2;61,6;46,4;84,8
MRTpv2023;MRT;Mauritania;2023;pv;-0,50;0,23;5;26,1;15,6;42,2
MUSpv2023;MUS;Mauritius;2023;pv;0,78;0,23;6;74,9;57,3;91,9
MEXpv2023;MEX;Mexico;2023;pv;-0,63;0,21;9;22,7;13,7;35,5
FSMpv2023;FSM;Micronesia;2023;pv;1,08;0,28;3;89,6;68,2;98,1
MDApv2023;MDA;Moldova;2023;pv;-0,68;0,23;6;20,4;13,3;35,1
MCOpv2023;MCO;Monaco;2023;pv;1,18;0,28;3;93,4;71,6;99,5
MNGpv2023;MNG;Mongolia;2023;pv;0,59;0,22;7;67,3;52,6;81,5
MNEpv2023;MNE;Montenegro;2023;pv;0,07;0,23;6;48,8;35,1;60,7
MARpv2023;MAR;Morocco;2023;pv;-0,37;0,22;7;29,9;17,5;46,0
MOZpv2023;MOZ;Mozambique;2023;pv;-1,27;0,21;7;11,8;8,5;15,2
MMRpv2023;MMR;Myanmar;2023;pv;-2,13;0,23;6;4,7;0,9;7,6
NAMpv2023;NAM;Namibia;2023;pv;0,54;0,23;6;63,5;51,2;79,6
NRUpv2023;NRU;Nauru;2023;pv;0,98;0,28;3;82,9;62,1;97,6
NPLpv2023;NPL;Nepal;2023;pv;-0,23;0,21;7;39,3;23,2;49,8
NLDpv2023;NLD;Netherlands;2023;pv;0,66;0,22;7;68,7;55,0;86,7
ANTpv2023;ANT;Netherlands Antilles;2023;pv;..;..;..;..;..;..
NZLpv2023;NZL;New Zealand;2023;pv;1,36;0,21;9;96,2;86,7;99,5
NICpv2023;NIC;Nicaragua;2023;pv;-0,13;0,23;6;42,2;26,1;54,0
NERpv2023;NER;Niger;2023;pv;-1,67;0,23;6;8,5;5,2;11,4
NGApv2023;NGA;Nigeria;2023;pv;-1,77;0,22;7;7,6;4,3;10,9
NIUpv2023;NIU;Niue;2023;pv;..;..;..;..;..;..
MKDpv2023;MKD;North Macedonia;2023;pv;0,17;0,23;6;51,2;39,8;63,5
NORpv2023;NOR;Norway;2023;pv;0,89;0,22;7;77,7;62,1;95,3
OMNpv2023;OMN;Oman;2023;pv;0,59;0,24;5;65,9;51,7;82,5
PAKpv2023;PAK;Pakistan;2023;pv;-1,93;0,22;7;6,6;2,8;8,5
PLWpv2023;PLW;Palau;2023;pv;1,08;0,28;3;89,6;68,2;98,1
PANpv2023;PAN;Panama;2023;pv;0,21;0,23;6;52,6;40,3;65,4
PNGpv2023;PNG;Papua New Guinea;2023;pv;-0,48;0,22;6;27,0;16,6;42,2
PRYpv2023;PRY;Paraguay;2023;pv;0,08;0,22;7;49,3;35,5;60,7
PERpv2023;PER;Peru;2023;pv;-0,52;0,22;8;24,2;15,6;40,3
PHLpv2023;PHL;Philippines;2023;pv;-0,57;0,22;8;23,7;15,2;39,8
POLpv2023;POL;Poland;2023;pv;0,56;0,22;7;64,0;51,7;80,6
PRTpv2023;PRT;Portugal;2023;pv;0,71;0,22;8;70,6;55,9;88,6
PRIpv2023;PRI;Puerto Rico;2023;pv;0,51;0,24;5;61,1;49,8;78,2
QATpv2023;QAT;Qatar;2023;pv;0,99;0,23;6;84,4;68,2;96,7
ROMpv2023;ROM;Romania;2023;pv;0,37;0,22;8;56,4;46,4;72,0
RUSpv2023;RUS;Russian Federation;2023;pv;-1,13;0,23;6;13,3;9,5;17,5
RWApv2023;RWA;Rwanda;2023;pv;0,11;0,23;6;49,8;36,5;60,7
REUpv2023;REU;Reunion;2023;pv;0,05;0,40;1;48,3;22,7;70,1
WSMpv2023;WSM;Samoa;2023;pv;1,10;0,25;5;90,5;70,1;98,1
SMRpv2023;SMR;San Marino;2023;pv;1,18;0,28;3;93,4;71,6;99,5
SAUpv2023;SAU;Saudi Arabia;2023;pv;-0,21;0,21;8;39,8;23,7;49,8
SENpv2023;SEN;Senegal;2023;pv;-0,14;0,23;6;41,2;25,1;53,1
SRBpv2023;SRB;Serbia;2023;pv;-0,04;0,23;6;44,5;28,0;55,0
SYCpv2023;SYC;Seychelles;2023;pv;0,76;0,24;5;73,9;55,9;91,9
SLEpv2023;SLE;Sierra Leone;2023;pv;-0,24;0,22;7;37,4;22,7;49,8
SGPpv2023;SGP;Singapore;2023;pv;1,42;0,21;9;97,2;89,6;100,0
SVKpv2023;SVK;Slovak Republic;2023;pv;0,57;0,22;8;64,5;52,6;81,0
SVNpv2023;SVN;Slovenia;2023;pv;0,82;0,22;7;75,8;60,7;91,9
SLBpv2023;SLB;Solomon Islands;2023;pv;0,45;0,25;4;60,7;47,4;76,8
SOMpv2023;SOM;Somalia;2023;pv;-2,38;0,24;5;2,8;0,0;5,7
ZAFpv2023;ZAF;South Africa;2023;pv;-0,67;0,22;7;20,9;13,3;35,5
SSDpv2023;SSD;South Sudan;2023;pv;-2,19;0,28;3;3,8;0,5;7,6
ESPpv2023;ESP;Spain;2023;pv;0,29;0,22;8;55,0;43,1;68,2
LKApv2023;LKA;Sri Lanka;2023;pv;-0,51;0,21;7;25,6;16,6;40,3
KNApv2023;KNA;St. Kitts and Nevis;2023;pv;0,92;0,27;4;80,6;60,7;95,7
LCApv2023;LCA;St. Lucia;2023;pv;1,02;0,27;4;86,3;64,5;97,6
VCTpv2023;VCT;St. Vincent and the Grenadines;2023;pv;1,02;0,27;4;86,3;64,5;97,6
SDNpv2023;SDN;Sudan;2023;pv;-2,47;0,23;6;1,9;0,0;4,7
SURpv2023;SUR;Suriname;2023;pv;0,41;0,23;6;59,7;47,4;74,9
SWEpv2023;SWE;Sweden;2023;pv;0,76;0,22;7;73,5;57,3;91,9
CHEpv2023;CHE;Switzerland;2023;pv;1,07;0,23;6;88,6;70,1;97,6
SYRpv2023;SYR;Syrian Arab Republic;2023;pv;-2,75;0,24;5;0,0;0,0;2,8
STPpv2023;STP;Sao Tome and Principe;2023;pv;0,44;0,24;4;60,2;47,4;76,3
TWNpv2023;TWN;TaiwanSao Tome;2023;pv;0,76;0,21;7;74,4;59,2;91,9
TJKpv2023;TJK;Tajikistan;2023;pv;-0,47;0,24;4;27,5;16,1;43,1
TZApv2023;TZA;Tanzania;2023;pv;-0,05;0,22;7;44,1;28,0;55,0
THApv2023;THA;Thailand;2023;pv;-0,28;0,21;8;36,0;22,7;48,3
TMPpv2023;TMP;Timor-Leste;2023;pv;0,26;0,24;5;54,5;41,2;68,2
TGOpv2023;TGO;Togo;2023;pv;-0,95;0,22;7;14,2;11,4;22,7
TONpv2023;TON;Tonga;2023;pv;1,09;0,25;4;90,0;69,7;98,1
TTOpv2023;TTO;Trinidad and Tobago;2023;pv;0,40;0,23;6;57,8;46,9;74,4
TUNpv2023;TUN;Tunisia;2023;pv;-0,63;0,23;6;22,3;13,7;36,5
TKMpv2023;TKM;Turkmenistan;2023;pv;-0,11;0,24;4;43,1;25,1;55,0
TUVpv2023;TUV;Tuvalu;2023;pv;1,19;0,25;4;94,3;74,9;98,6
TURpv2023;TUR;Turkiye;2023;pv;-1,01;0,22;7;13,7;11,4;20,9
UGApv2023;UGA;Uganda;2023;pv;-0,70;0,23;6;19,4;13,3;34,1
UKRpv2023;UKR;Ukraine;2023;pv;-1,43;0,23;6;10,9;7,1;13,3
AREpv2023;ARE;United Arab Emirates;2023;pv;0,68;0,22;7;70,1;55,0;87,2
GBRpv2023;GBR;United Kingdom;2023;pv;0,51;0,21;8;62,1;51,2;76,8
USApv2023;USA;United States;2023;pv;0,03;0,21;8;47,4;35,1;55,9
URYpv2023;URY;Uruguay;2023;pv;0,96;0,23;6;82,0;66,8;95,7
UZBpv2023;UZB;Uzbekistan;2023;pv;-0,15;0,23;6;40,8;23,7;52,6
VUTpv2023;VUT;Vanuatu;2023;pv;0,93;0,25;5;81,0;62,1;95,7
VENpv2023;VEN;Venezuela;2023;pv;-1,19;0,21;8;12,3;9,0;16,6
VNMpv2023;VNM;Viet Nam;2023;pv;-0,04;0,21;8;45,0;28,9;55,0
VIRpv2023;VIR;Virgin Islands;2023;pv;0,53;0,31;2;63,0;47,4;87,2
WBGpv2023;WBG;West Bank and Gaza;2023;pv;-1,87;0,24;5;7,1;2,8;9,5
YEMpv2023;YEM;Yemen;2023;pv;-2,56;0,24;5;0,9;0,0;3,8
ZMBpv2023;ZMB;Zambia;2023;pv;0,20;0,23;6;52,1;40,3;64,5
ZWEpv2023;ZWE;Zimbabwe;2023;pv;-0,93;0,23;6;15,2;11,4;23,7
AFGrl2023;AFG;Afghanistan;2023;rl;-1,65;0,17;9;5,2;1,4;7,1
ALBrl2023;ALB;Albania;2023;rl;-0,16;0,16;10;45,8;36,8;54,2
DZArl2023;DZA;Algeria;2023;rl;-0,68;0,17;10;26,4;19,3;37,7
ASMrl2023;ASM;American Samoa;2023;rl;1,21;0,46;1;85,4;65,1;99,5
ADOrl2023;ADO;Andorra;2023;rl;1,48;0,46;1;91,5;76,4;100,0
AGOrl2023;AGO;Angola;2023;rl;-1,10;0,17;11;14,6;7,1;23,1
AIArl2023;AIA;Anguilla;2023;rl;0,68;0,46;1;75,0;51,4;89,6
ATGrl2023;ATG;Antigua and Barbuda;2023;rl;0,38;0,31;3;59,9;47,6;79,2
ARGrl2023;ARG;Argentina;2023;rl;-0,41;0,16;12;37,7;26,4;47,2
ARMrl2023;ARM;Armenia;2023;rl;-0,12;0,17;9;49,1;37,7;54,7
ABWrl2023;ABW;Aruba;2023;rl;1,27;0,21;3;87,3;79,7;93,4
AUSrl2023;AUS;Australia;2023;rl;1,52;0,17;9;92,0;85,4;98,6
AUTrl2023;AUT;Austria;2023;rl;1,75;0,16;11;97,2;91,5;100,0
AZErl2023;AZE;Azerbaijan;2023;rl;-0,57;0,18;8;29,2;21,2;42,5
BHSrl2023;BHS;Bahamas;2023;rl;0,18;0,18;6;55,7;48,6;66,0
BHRrl2023;BHR;Bahrain;2023;rl;0,47;0,18;9;65,6;54,7;76,4
BGDrl2023;BGD;Bangladesh;2023;rl;-0,50;0,16;13;33,5;24,1;43,4
BRBrl2023;BRB;Barbados;2023;rl;0,41;0,18;7;62,3;54,2;75,5
BLRrl2023;BLR;Belarus;2023;rl;-1,25;0,16;8;11,3;6,1;17,9
BELrl2023;BEL;Belgium;2023;rl;1,30;0,17;10;88,2;82,1;92,9
BLZrl2023;BLZ;Belize;2023;rl;-0,64;0,19;5;27,8;19,3;41,0
BENrl2023;BEN;Benin;2023;rl;-0,51;0,15;13;33,0;24,1;42,9
BMUrl2023;BMU;Bermuda;2023;rl;0,68;0,46;1;75,0;51,4;89,6
BTNrl2023;BTN;Bhutan;2023;rl;0,67;0,19;8;72,6;59,4;81,6
BOLrl2023;BOL;Bolivia;2023;rl;-1,22;0,17;12;11,8;6,1;19,3
BIHrl2023;BIH;Bosnia and Herzegovina;2023;rl;-0,35;0,16;10;39,6;27,8;50,0
BWArl2023;BWA;Botswana;2023;rl;0,39;0,16;12;61,3;54,2;72,2
BRArl2023;BRA;Brazil;2023;rl;-0,31;0,16;12;42,0;28,8;52,4
BRNrl2023;BRN;Brunei Darussalam;2023;rl;0,89;0,21;4;79,2;67,0;85,4
BGRrl2023;BGR;Bulgaria;2023;rl;-0,01;0,15;13;53,8;43,4;57,1
BFArl2023;BFA;Burkina Faso;2023;rl;-0,74;0,15;13;24,5;17,9;33,5
BDIrl2023;BDI;Burundi;2023;rl;-1,25;0,16;9;10,8;6,1;17,9
KHMrl2023;KHM;Cambodia;2023;rl;-0,82;0,16;12;23,6;15,1;29,2
CMRrl2023;CMR;Cameroon;2023;rl;-1,04;0,15;14;16,5;10,4;24,1
CANrl2023;CAN;Canada;2023;rl;1,47;0,17;10;90,1;84,9;97,2
CPVrl2023;CPV;Cape Verde;2023;rl;0,40;0,18;9;61,8;54,2;75,0
CYMrl2023;CYM;Cayman Islands;2023;rl;0,72;0,21;2;76,4;59,4;83,5
CAFrl2023;CAF;Central African Republic;2023;rl;-1,76;0,16;10;3,3;1,4;6,1
TCDrl2023;TCD;Chad;2023;rl;-1,35;0,16;12;8,0;6,1;14,6
CHLrl2023;CHL;Chile;2023;rl;0,63;0,16;12;71,2;59,0;79,2
CHNrl2023;CHN;China;2023;rl;-0,04;0,17;10;52,8;41,0;57,1
COLrl2023;COL;Colombia;2023;rl;-0,46;0,16;13;35,8;24,5;43,4
COMrl2023;COM;Comoros;2023;rl;-1,34;0,22;8;8,5;3,3;18,9
ZARrl2023;ZAR;Congo;2023;rl;-1,67;0,15;13;4,7;1,4;7,1
COGrl2023;COG;Congo;2023;rl;-1,02;0,16;11;17,9;9,0;24,1
COKrl2023;COK;Cook Islands;2023;rl;-0,53;0,96;1;31,1;0,9;82,1
CRIrl2023;CRI;Costa Rica;2023;rl;0,39;0,17;12;60,4;54,2;72,2
HRVrl2023;HRV;Croatia;2023;rl;0,36;0,15;12;59,4;54,2;69,8
CUBrl2023;CUB;Cuba;2023;rl;-0,45;0,20;6;36,3;24,1;47,6
CYPrl2023;CYP;Cyprus;2023;rl;0,63;0,17;10;71,7;59,0;79,2
CZErl2023;CZE;Czech Republic;2023;rl;1,14;0,15;12;84,4;79,2;88,7
CIVrl2023;CIV;Cote d'Ivoire;2023;rl;-0,46;0,14;15;35,4;25,0;43,4
DNKrl2023;DNK;Denmark;2023;rl;1,91;0,17;10;99,5;93,9;100,0
DJIrl2023;DJI;Djibouti;2023;rl;-1,13;0,16;9;13,7;7,1;21,2
DMArl2023;DMA;Dominica;2023;rl;0,62;0,27;3;70,8;54,7;83,5
DOMrl2023;DOM;Dominican Republic;2023;rl;-0,13;0,17;11;48,1;37,7;54,7
ECUrl2023;ECU;Ecuador;2023;rl;-0,96;0,17;11;19,3;11,3;25,9
EGYrl2023;EGY;Egypt;2023;rl;-0,18;0,17;11;44,3;35,8;54,2
SLVrl2023;SLV;El Salvador;2023;rl;-0,37;0,17;13;39,2;26,9;49,5
GNQrl2023;GNQ;Equatorial Guinea;2023;rl;-1,34;0,19;6;9,0;4,7;17,5
ERIrl2023;ERI;Eritrea;2023;rl;-1,76;0,16;9;2,8;1,4;6,1
ESTrl2023;EST;Estonia;2023;rl;1,43;0,15;13;89,6;84,9;94,3
SWZrl2023;SWZ;Eswatini;2023;rl;-0,60;0,19;9;28,3;19,3;42,0
ETHrl2023;ETH;Ethiopia;2023;rl;-0,67;0,15;12;26,9;19,3;36,8
FJIrl2023;FJI;Fiji;2023;rl;0,30;0,32;5;58,5;43,4;78,3
FINrl2023;FIN;Finland;2023;rl;1,97;0,17;10;100,0;95,3;100,0
FRArl2023;FRA;France;2023;rl;1,18;0,16;11;84,9;79,7;89,6
GUFrl2023;GUF;French Guiana;2023;rl;1,13;0,21;2;84,0;76,4;91,5
GABrl2023;GAB;Gabon;2023;rl;-0,87;0,17;10;20,8;13,2;28,3
GMBrl2023;GMB;Gambia;2023;rl;-0,37;0,15;14;38,2;27,8;47,6
GEOrl2023;GEO;Georgia;2023;rl;0,18;0,16;10;55,2;50,0;64,2
DEUrl2023;DEU;Germany;2023;rl;1,55;0,16;11;92,9;87,3;98,6
GHArl2023;GHA;Ghana;2023;rl;-0,10;0,14;16;49,5;40,6;54,2
GRCrl2023;GRC;Greece;2023;rl;0,21;0,16;11;57,1;51,9;66,0
GRLrl2023;GRL;Greenland;2023;rl;1,68;0,24;1;95,3;87,7;100,0
GRDrl2023;GRD;Grenada;2023;rl;0,60;0,27;4;69,3;54,7;83,0
GUMrl2023;GUM;Guam;2023;rl;0,95;0,46;1;81,6;56,1;95,3
GTMrl2023;GTM;Guatemala;2023;rl;-1,08;0,17;11;15,6;7,5;24,1
GINrl2023;GIN;Guinea;2023;rl;-1,11;0,15;13;14,2;7,5;20,8
GNBrl2023;GNB;Guinea-Bissau;2023;rl;-1,44;0,21;9;7,1;1,9;15,1
GUYrl2023;GUY;Guyana;2023;rl;-0,34;0,17;7;40,6;27,8;51,9
HTIrl2023;HTI;Haiti;2023;rl;-1,36;0,17;9;7,5;5,7;15,1
HNDrl2023;HND;Honduras;2023;rl;-1,10;0,16;13;15,1;7,5;23,1
HKGrl2023;HKG;Hong Kong;2023;rl;1,29;0,17;10;87,7;82,1;92,9
HUNrl2023;HUN;Hungary;2023;rl;0,43;0,15;13;63,2;55,7;72,6
ISLrl2023;ISL;Iceland;2023;rl;1,72;0,18;8;96,7;89,2;100,0
INDrl2023;IND;India;2023;rl;0,19;0,16;12;56,1;50,9;64,6
IDNrl2023;IDN;Indonesia;2023;rl;-0,15;0,16;12;46,7;36,8;54,2
IRNrl2023;IRN;Iran;2023;rl;-1,06;0,17;9;16,0;8,0;24,1
IRQrl2023;IRQ;Iraq;2023;rl;-1,69;0,19;8;3,8;1,4;7,1
IRLrl2023;IRL;Ireland;2023;rl;1,63;0,17;10;93,9;88,7;99,1
ISRrl2023;ISR;Israel;2023;rl;0,78;0,18;8;77,4;66,0;83,5
ITArl2023;ITA;Italy;2023;rl;0,39;0,17;10;60,8;54,2;72,2
JAMrl2023;JAM;Jamaica;2023;rl;-0,17;0,17;10;44,8;35,8;54,2
JPNrl2023;JPN;Japan;2023;rl;1,54;0,17;9;92,5;85,8;98,6
JEYrl2023;JEY;Jersey;2023;rl;1,68;0,24;1;95,3;87,7;100,0
JORrl2023;JOR;Jordan;2023;rl;0,26;0,17;10;58,0;53,3;66,5
KAZrl2023;KAZ;Kazakhstan;2023;rl;-0,45;0,15;11;36,8;25,0;43,4
KENrl2023;KEN;Kenya;2023;rl;-0,33;0,15;14;41,0;29,2;50,0
KIRrl2023;KIR;Kiribati;2023;rl;0,59;0,34;3;68,4;53,8;84,4
PRKrl2023;PRK;Korea;2023;rl;-1,64;0,20;6;5,7;1,4;9,0
KORrl2023;KOR;Korea;2023;rl;1,25;0,17;10;85,8;81,6;91,5
KSVrl2023;KSV;Kosovo;2023;rl;-0,31;0,16;10;41,5;28,8;51,9
KWTrl2023;KWT;Kuwait;2023;rl;0,34;0,17;10;59,0;53,8;70,3
KGZrl2023;KGZ;Kyrgyz Republic;2023;rl;-1,17;0,15;13;12,7;7,1;19,3
LAOrl2023;LAO;Lao PDR;2023;rl;-0,83;0,18;10;22,6;13,2;29,7
LVArl2023;LVA;Latvia;2023;rl;1,04;0,15;12;83,0;77,4;87,3
LBNrl2023;LBN;Lebanon;2023;rl;-1,17;0,18;8;13,2;6,6;20,8
LSOrl2023;LSO;Lesotho;2023;rl;-0,48;0,16;13;34,0;24,5;43,4
LBRrl2023;LBR;Liberia;2023;rl;-1,03;0,15;14;17,0;10,4;24,1
LBYrl2023;LBY;Libya;2023;rl;-1,77;0,19;7;2,4;0,9;6,6
LIErl2023;LIE;Liechtenstein;2023;rl;1,71;0,21;2;96,2;88,7;100,0
LTUrl2023;LTU;Lithuania;2023;rl;1,27;0,15;12;86,8;82,1;91,5
LUXrl2023;LUX;Luxembourg;2023;rl;1,75;0,17;10;97,6;91,5;100,0
MACrl2023;MAC;Macao;2023;rl;0,78;0,21;3;76,9;63,7;84,0
MDGrl2023;MDG;Madagascar;2023;rl;-0,97;0,15;14;18,9;11,8;24,5
MWIrl2023;MWI;Malawi;2023;rl;-0,16;0,15;14;46,2;37,7;53,8
MYSrl2023;MYS;Malaysia;2023;rl;0,57;0,17;10;67,5;58,0;78,3
MDVrl2023;MDV;Maldives;2023;rl;-0,08;0,32;5;50,9;27,8;64,6
MLIrl2023;MLI;Mali;2023;rl;-0,98;0,15;14;18,4;11,8;24,5
MLTrl2023;MLT;Malta;2023;rl;0,70;0,17;9;75,5;62,7;81,6
MHLrl2023;MHL;Marshall Islands;2023;rl;0,68;0,34;4;73,1;54,2;85,4
MTQrl2023;MTQ;Martinique;2023;rl;0,68;0,46;1;75,0;51,4;89,6
MRTrl2023;MRT;Mauritania;2023;rl;-0,64;0,15;12;27,4;20,3;37,7
MUSrl2023;MUS;Mauritius;2023;rl;0,81;0,17;11;77,8;66,5;83,5
MEXrl2023;MEX;Mexico;2023;rl;-0,81;0,16;13;24,1;15,6;29,2
FSMrl2023;FSM;Micronesia;2023;rl;0,64;0,34;4;72,2;54,2;84,9
MDArl2023;MDA;Moldova;2023;rl;-0,15;0,16;9;47,2;36,8;54,2
